20210127
"19005,150"
"18322,850"
"17968,675"
"18059,188"
"18293,638"
"19136,100"
"21554,400"
"23512,250"
"24728,488"
"25276,375"
"25281,275"
"25317,488"
"25213,450"
"25149,888"
"24653,413"
"24388,950"
"24934,450"
"25500,525"
"25151,275"
"24978,888"
"24221,638"
"22724,013"
"21193,625"
"19914,963"
