20210115
"19331,050"
"18708,813"
"18368,763"
"18378,963"
"18788,563"
"19487,738"
"22002,863"
"23826,125"
"24796,988"
"25565,475"
"25935,625"
"26169,388"
"26088,488"
"25928,200"
"25316,663"
"25053,775"
"25748,800"
"25953,388"
"25557,313"
"25174,388"
"24625,925"
"23255,663"
"21761,688"
"20616,213"
