20210101
"15289,913"
"14682,838"
"14100,713"
"13705,113"
"13607,150"
"13709,950"
"13820,800"
"13882,375"
"13892,550"
"14644,025"
"15463,325"
"16043,125"
"16416,125"
"16752,563"
"16697,275"
"16816,338"
"17744,038"
"17949,863"
"17892,900"
"17803,963"
"17502,738"
"16820,700"
"16223,725"
"15319,413"
