20210105
"17504,213"
"16850,713"
"16603,538"
"16594,013"
"16929,163"
"17635,188"
"19926,775"
"21667,550"
"22617,250"
"23349,463"
"23916,200"
"24413,875"
"24439,513"
"24393,225"
"23993,400"
"23902,338"
"24381,300"
"24196,450"
"23707,938"
"23348,913"
"22723,675"
"21407,700"
"20105,575"
"18869,763"
