20210125
"16642,875"
"16160,600"
"15634,950"
"15507,825"
"15972,250"
"17291,100"
"20661,025"
"22882,963"
"24221,100"
"24968,288"
"25131,813"
"25281,175"
"25348,850"
"25236,650"
"24625,538"
"24205,213"
"24656,713"
"24980,988"
"24756,250"
"24449,938"
"23826,425"
"22453,700"
"20986,963"
"19836,850"
