20210106
"17754,738"
"16999,113"
"16474,275"
"16225,338"
"16201,100"
"16054,825"
"16150,600"
"16369,663"
"16877,325"
"17953,075"
"18785,300"
"19286,088"
"19601,625"
"19858,400"
"19579,838"
"19382,100"
"20234,300"
"20314,125"
"20243,563"
"20202,575"
"19876,525"
"19121,625"
"18341,650"
"17365,800"
