20210113
"19170,238"
"18503,288"
"18026,550"
"17967,213"
"18101,650"
"18947,775"
"21354,750"
"23180,463"
"24170,113"
"24902,325"
"25251,875"
"25335,863"
"25360,938"
"25409,175"
"24885,013"
"24638,138"
"25289,513"
"25242,725"
"24841,800"
"24592,075"
"23966,738"
"22643,800"
"21266,775"
"20051,063"
