20210126
"18714,225"
"18143,613"
"17829,100"
"17766,200"
"18132,713"
"18980,013"
"21513,613"
"23434,275"
"24541,163"
"25079,588"
"25221,038"
"25278,925"
"25170,625"
"25058,938"
"24551,025"
"24231,263"
"24736,925"
"25225,788"
"24762,713"
"24627,800"
"24111,475"
"22656,675"
"21206,913"
"20050,825"
