20210112
"19073,088"
"18381,438"
"18075,100"
"17953,825"
"18266,000"
"19124,975"
"21545,075"
"23489,888"
"24335,438"
"24783,388"
"24882,625"
"25067,400"
"25213,300"
"25132,463"
"24624,075"
"24564,175"
"25253,500"
"25180,475"
"24791,463"
"24779,638"
"24109,525"
"22778,588"
"21362,288"
"20139,325"
