20210108
"18377,738"
"17727,225"
"17375,088"
"17303,488"
"17528,513"
"18400,138"
"20699,713"
"22610,375"
"23495,788"
"24288,188"
"24614,538"
"24731,988"
"24721,300"
"24566,900"
"24182,488"
"24084,513"
"24893,038"
"24875,600"
"24345,000"
"24024,275"
"23318,700"
"21969,413"
"20695,488"
"19605,275"
