20210114
"18940,975"
"18267,150"
"17937,475"
"17952,375"
"18330,563"
"19097,613"
"21577,313"
"23401,738"
"24400,225"
"25169,325"
"25471,613"
"25728,125"
"25868,038"
"25770,625"
"25193,075"
"24904,613"
"25499,400"
"25568,438"
"25235,838"
"25023,263"
"24345,525"
"22965,263"
"21689,588"
"20288,238"
