20210104
"15442,513"
"14923,900"
"14729,963"
"14722,100"
"15188,163"
"16502,088"
"18946,850"
"20840,238"
"21904,463"
"22649,300"
"23133,725"
"23520,438"
"23532,975"
"23415,300"
"23125,725"
"23153,613"
"23826,475"
"23719,425"
"23355,925"
"23090,400"
"22585,638"
"21244,188"
"19777,325"
"18538,850"
