20210111
"16677,775"
"16108,788"
"15991,838"
"16074,225"
"16452,500"
"17570,725"
"20542,425"
"22748,688"
"23830,900"
"24515,688"
"24753,000"
"24901,000"
"24801,938"
"24622,975"
"24216,950"
"24262,900"
"25017,825"
"25191,625"
"24815,788"
"24536,350"
"24113,863"
"22780,688"
"21360,213"
"20044,025"
